Customer_ID,Address_ID,Address_Type,Modified_Date,rowguid
30018,9,Shipping,2006-07-01 00:00:00,432bbee2-8a6b-45e3-8915-9350f0434e3f
29545,11,Shipping,2007-04-01 00:00:00,3d88495a-776e-414a-a91e-6d8979a35d86
29954,25,Shipping,2006-09-01 00:00:00,85666565-49e8-427a-8a2a-c7960c7e665a
29897,28,Shipping,2005-09-01 00:00:00,32ac1e35-a59f-4776-ba25-e64429512b5d
29503,32,Shipping,2006-08-01 00:00:00,be00ffc6-194b-44e9-a129-dfbeb8f1301f
29559,185,Shipping,2006-09-01 00:00:00,4764266c-0fa0-4adb-913f-013da52d6353
29816,297,Shipping,2006-08-01 00:00:00,c33e7580-8404-43f7-a783-21b927020b98
29770,445,Main Office,2006-09-01 00:00:00,40e68361-485d-45f4-b18c-282d13f4552e
29813,446,Main Office,2005-08-01 00:00:00,26b1ebc5-570f-4d4b-baf2-c8c855b94151
29627,447,Main Office,2006-08-01 00:00:00,e25d9b43-edec-4e35-aa93-b12417ef7a61
29567,448,Main Office,2007-08-01 00:00:00,4f5a655a-1259-4f7e-95f6-cd18ca6b9a01
29807,449,Main Office,2005-08-01 00:00:00,3ab25485-c5fd-4132-aa0b-2a9b2915068c
29959,450,Main Office,2006-09-01 00:00:00,8403e33b-a0ab-4d9c-a223-dcf3f74e2b8f
29934,451,Main Office,2006-12-01 00:00:00,bf9679da-39e6-4e84-8476-4da4a30c330f
29803,452,Main Office,2005-09-01 00:00:00,3401998e-ccfc-4f78-8f4a-d0ececf17645
29964,453,Main Office,2007-09-01 00:00:00,19c598d1-750e-4350-ae29-97a55ab7bf04
29928,454,Main Office,2007-08-01 00:00:00,e7f64144-8fac-4392-84d9-22faf9a73de1
29797,455,Main Office,2006-08-01 00:00:00,0568c992-f82d-4177-b7e8-c36af5e749dc
29699,456,Main Office,2006-08-01 00:00:00,ff640e5b-57f6-496b-98da-eb21cb137f55
29596,458,Main Office,2005-07-01 00:00:00,f304c494-8b65-41a7-a144-853ff6dcf91c
29705,459,Main Office,2005-08-01 00:00:00,a928fd77-9387-468b-aa0c-48f2c58e6949
29918,460,Main Office,2007-08-01 00:00:00,375117b5-406c-48ce-be16-b702bbe4bb0d
29677,461,Main Office,2006-08-01 00:00:00,1b90b381-1c88-4b48-9c8c-e13810f1e20d
29946,462,Main Office,2005-08-01 00:00:00,31527987-c089-4cb9-999b-f0adfc5affc6
29950,463,Main Office,2005-09-01 00:00:00,a94b6c2e-a3ad-44b4-9085-dcba6a9da311
30067,464,Main Office,2005-07-01 00:00:00,af190caa-ebab-485d-b695-6d2c51f21cab
29671,465,Main Office,2007-07-01 00:00:00,79d1d469-4b2e-4d34-bc80-4192f8460475
29794,466,Main Office,2005-08-01 00:00:00,b3b568ec-526e-442f-b068-fbb0cbe36eb8
29541,467,Main Office,2005-11-01 00:00:00,22b4d3bb-6af2-4d40-8f84-10fad8d5a74f
29666,468,Main Office,2007-08-01 00:00:00,18fa01b8-e614-4b12-bb6d-97074dd84a95
29629,469,Main Office,2007-09-01 00:00:00,9cd7b713-3133-4816-8375-3458aa5df285
29639,470,Main Office,2005-09-01 00:00:00,70c47450-562c-43bc-8596-abffdde831fe
29577,471,Main Office,2005-09-01 00:00:00,79195f71-4929-4c90-be50-d9dfd1767268
29711,472,Main Office,2005-09-01 00:00:00,45ea76b8-301a-486a-863a-c69a9e166360
29714,473,Main Office,2005-09-01 00:00:00,97164cfc-253e-4432-9e60-e197747e2286
29939,475,Main Office,2007-09-01 00:00:00,ec8852e5-975c-4058-bc0a-ac65c1b48ffd
29892,476,Main Office,2005-08-01 00:00:00,fe8846fb-9827-4dcd-bee5-113a861cb13b
29988,478,Main Office,2005-08-01 00:00:00,74dbdb0b-0110-44fa-941c-98bcd90c7d86
29539,480,Main Office,2005-08-01 00:00:00,6f7dda53-7b9d-4710-aeb9-20ea0ea5098b
29876,481,Main Office,2006-08-01 00:00:00,75756445-0f83-423c-b065-cc359f478da1
29994,482,Main Office,2005-07-01 00:00:00,50baa902-3d53-42d2-a154-f4c007975943
29881,483,Main Office,2007-09-01 00:00:00,e84a3989-ee42-4752-a6f0-ded83afbf901
29870,484,Main Office,2008-06-01 00:00:00,5cc7359e-2cb1-46f9-97a2-5d94a6c9f90e
30000,485,Main Office,2006-07-01 00:00:00,ff4550c5-f25d-4135-9ef5-e110f3fb5d91
30098,486,Main Office,2006-07-01 00:00:00,1175d1c6-86e0-418c-92e4-17d4fc9de2cd
29864,487,Main Office,2006-09-01 00:00:00,def4d1e6-be40-43b9-b6bf-0ba395f7d377
29608,488,Main Office,2007-08-01 00:00:00,79b712ed-91c6-418c-91cb-8af9169546e8
30093,489,Main Office,2007-08-01 00:00:00,ac074832-adec-4312-9bf7-22d56eb4ceb9
29780,490,Main Office,2006-08-01 00:00:00,21b47ec3-1d65-4c2d-9e8d-088852776795
29625,491,Main Office,2007-09-01 00:00:00,72bc757f-5890-414a-948f-ef5c3ee0f5ec
30087,492,Main Office,2007-09-01 00:00:00,22875f2e-323b-4538-a890-c5c8f7ecc08d
29692,494,Main Office,2006-07-01 00:00:00,608a0e4d-16eb-495e-acdc-b2882ff708b6
29530,495,Main Office,2006-09-01 00:00:00,2a12a463-dca0-480f-83d6-ab58a43e1d24
30021,496,Main Office,2007-08-01 00:00:00,9c254d20-1324-4359-bd3a-df341483d700
29698,497,Main Office,2005-08-01 00:00:00,92e554a6-6acc-41b1-9992-636e10abfc5c
29548,498,Main Office,2005-08-01 00:00:00,1419ea0f-f8ee-4d5b-9e5f-90fc3a9999ca
30115,499,Main Office,2006-08-01 00:00:00,a02a45b2-673d-4ff6-9c60-ee59a8c2bb4b
29558,500,Main Office,2005-08-01 00:00:00,c646937c-7b2b-4284-994c-11d7bf5e1f21
29789,501,Main Office,2005-08-01 00:00:00,d97a5607-00c5-40a9-a969-daaf6e005d03
29910,502,Main Office,2006-08-01 00:00:00,696d6949-58f5-4de1-9989-d41ce31b9d8f
29620,503,Main Office,2005-08-01 00:00:00,c7a8a997-0817-42d2-a150-5785f7a4e47f
29515,504,Main Office,2005-08-01 00:00:00,a5f1a232-3cce-4149-9892-de9895bc0f07
29905,505,Main Office,2005-08-01 00:00:00,0420d0d7-9e3e-4c30-b67c-c7e9dd0273a6
30053,507,Main Office,2007-09-01 00:00:00,4409d7b8-5701-4103-bc8e-60043723f8aa
29900,508,Main Office,2006-12-01 00:00:00,5246c0b3-83d6-435c-aaba-1787d1633f84
29680,509,Main Office,2005-08-01 00:00:00,55a31949-e55b-47ee-b11f-410560c489ef
30058,510,Main Office,2005-11-01 00:00:00,b44447d2-e096-4f10-8e12-34838cc105c3
29852,511,Main Office,2006-12-01 00:00:00,c2005ff8-9e71-4d36-be82-5f920137a4af
29527,512,Main Office,2007-09-01 00:00:00,decef565-c5d1-4396-a45f-27c635833b31
29557,513,Main Office,2007-09-01 00:00:00,d3e8fa3e-72b0-4059-a99f-ed52f631e72c
29576,514,Main Office,2006-09-01 00:00:00,f0d0449b-b4b5-4bee-ae9e-dda391e1971a
29879,515,Main Office,2006-07-01 00:00:00,eed9551e-f6c8-418d-b945-942a64a884c8
29601,516,Main Office,2006-08-01 00:00:00,a35638e6-0f87-47c0-9c72-1b65cadfaf59
29734,517,Main Office,2005-07-01 00:00:00,abdaae4a-7f6d-4192-a162-495646cda3cb
29603,518,Main Office,2007-09-01 00:00:00,04a7a4ff-6708-4c08-a502-4daeaa666d55
29544,519,Main Office,2006-08-01 00:00:00,b1d3b3fa-e485-4f4c-b781-b4efb273dedc
29740,520,Main Office,2005-09-01 00:00:00,b76a7fb2-c021-4ddf-85fe-92639a1f2bb2
30083,521,Main Office,2006-09-01 00:00:00,3cea9956-63ba-47f1-9c44-171abbcc2b37
29766,522,Main Office,2007-02-01 00:00:00,3df9afb4-cce1-4e5b-87b4-01ac35d30607
30042,523,Main Office,2005-08-01 00:00:00,31f60fa6-3745-404d-a1e6-937621635039
29895,524,Main Office,2006-08-01 00:00:00,882c6728-41e4-4ba5-9b26-f1341a0bfb11
29761,525,Main Office,2005-07-01 00:00:00,289f00e7-70c9-4f2e-9963-37cced7ea231
30048,526,Main Office,2006-07-01 00:00:00,5fb30583-2fc0-40a6-9d86-44c9abd854f4
29499,527,Main Office,2006-09-01 00:00:00,c90cb0c3-976a-4075-a2b9-13136f4f1a92
29755,528,Main Office,2005-09-01 00:00:00,27daafd3-3d17-43e9-8038-60b4d4ddf188
29614,529,Main Office,2005-07-01 00:00:00,5a69e600-61ec-49fc-8cf9-40fcaabbb48c
30016,531,Main Office,2006-11-01 00:00:00,7d90c75b-9b26-4d75-9d57-364326b6e75e
29785,533,Main Office,2005-11-01 00:00:00,951e0eea-ef27-4723-99c4-969750131f07
30074,534,Main Office,2005-08-01 00:00:00,2ef881a7-77ae-434c-af0c-e1122eef3d2d
30010,535,Main Office,2005-11-01 00:00:00,01a80aae-7be3-4abd-9615-fe7a45280bb9
30007,536,Main Office,2006-09-01 00:00:00,766eacd4-c44b-4754-8754-984f6f416164
29494,537,Main Office,2005-09-01 00:00:00,492d92b6-31af-47ea-8e00-7c11c7ccc20d
29911,538,Main Office,2007-08-01 00:00:00,b7cdc62a-5672-4327-9b71-2ba730134d98
29855,539,Main Office,2005-08-01 00:00:00,d4701110-f7e5-4f41-9e56-e983c5a18ab5
29510,540,Main Office,2005-08-01 00:00:00,af6dcc27-dccb-40de-9445-3f4990aabd28
29503,541,Main Office,2006-08-01 00:00:00,6811dbe3-1f02-440c-932e-a54f403b3e51
30029,542,Main Office,2006-09-01 00:00:00,4093bd23-27ff-4f33-a21f-6b4307b983ed
29750,543,Main Office,2006-09-01 00:00:00,f1e75c2e-b9f5-459e-acec-719f396de128
29649,544,Main Office,2005-09-01 00:00:00,65fedc39-ac5b-434d-886e-23e4f2a451d4
30037,545,Main Office,2006-09-01 00:00:00,47d260d5-1f63-4617-93ab-5e144941b2c0
